"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"TMEM39A",8.80892339898965e-21,-0.710269888502352,0.273,0.505,2.33304336222241e-16
"DGCR6",9.27325822857143e-21,0.550505836815034,0.521,0.268,2.45602244183714e-16
"MRPL40",9.39953519525742e-21,0.61891376934574,0.763,0.581,2.48946689646393e-16
"CFAP69",9.46307566675814e-21,2.11114270750482,0.241,0.052,2.50629559034089e-16
"DYX1C1",9.99494610648832e-21,1.67095069698029,0.205,0.027,2.64716147630343e-16
"TTLL10",1.01484476736842e-20,2.13847935009261,0.184,0.016,2.68781636637525e-16
"ATP11A-AS1",1.10332549166042e-20,-1.79721130859024,0.086,0.258,2.92215756466263e-16
"QKI",1.11625693504807e-20,-0.965402361584284,0.366,0.581,2.95640649247482e-16
"EPB41L5",1.1573582818738e-20,-0.832723348822798,0.461,0.668,3.06526340954276e-16
"HCFC1R1",1.16924033640252e-20,-0.74578101160073,0.494,0.703,3.09673303096207e-16
"REV1",1.17778057042135e-20,-0.481982038142341,0.401,0.635,3.11935184076095e-16
"YTHDF2",1.19967588828765e-20,-0.519660158702157,0.679,0.845,3.17734159012984e-16
"POLR2C",1.2182065143382e-20,-0.672860195742573,0.467,0.672,3.22641995322473e-16
"BAALC",1.22118833720597e-20,2.71386361780096,0.157,0.002,3.23431731109002e-16
"GGT1",1.29346447181571e-20,-0.848293933437453,0.188,0.404,3.42574065360391e-16
"PLA2G1B",1.29884866765235e-20,-1.43990333502125,0.019,0.136,3.44000069627725e-16
"AK9",1.31246032348955e-20,1.5106373754537,0.395,0.186,3.47605116676206e-16
"OR7E47P",1.33490817443412e-20,2.06993630040555,0.259,0.068,3.53550429998878e-16
"HIST1H2AM",1.36767951836998e-20,-0.7297580871164,0.159,0.363,3.62229920440289e-16
"TRIM29",1.40299637343609e-20,1.76695352839083,0.344,0.138,3.71583589504548e-16
"NHSL1",1.43412389513116e-20,-1.11476502398555,0.421,0.606,3.79827713625489e-16
"GNG7",1.46963784533285e-20,-1.1113837877282,0.077,0.247,3.89233583336406e-16
"LARP4B",1.49695249314751e-20,-0.691118495262916,0.608,0.771,3.96467867810117e-16
"CCDC146",1.54403948084455e-20,2.84172261289502,0.351,0.161,4.0893885650168e-16
"GNPTG",1.65749663659305e-20,-0.57407118826736,0.658,0.814,4.38987984201669e-16
"ORM2",1.72860341505753e-20,-1.00859045855141,0.034,0.171,4.57820614477987e-16
"KLK10",1.85840990359332e-20,-1.33997752735579,0.039,0.179,4.92199862966692e-16
"CTSC",1.93249480573069e-20,1.3592260493329,0.707,0.697,5.11821249297774e-16
"APOH",2.00299124617406e-20,3.09205861822774,0.169,0.01,5.304922315492e-16
"GRK5",2.14317134316857e-20,-1.47445848129086,0.012,0.118,5.67618930238197e-16
"ZNF518B",2.18321439678099e-20,-1.63288857847344,0.082,0.252,5.78224332987445e-16
"KITLG",2.23417938764133e-20,-0.321406514429146,0.282,0.524,5.91722410816806e-16
"RNF40",2.31610717765761e-20,-0.60872215494039,0.376,0.61,6.13420986002618e-16
"NINJ2",2.38197994131012e-20,-1.35479730330976,0.244,0.437,6.30867387455985e-16
"OSR2",2.38523558804274e-20,-1.2522610218391,0.147,0.34,6.3172964549312e-16
"IK",2.3894968035235e-20,1.18815319098441,0.833,0.816,6.32858228413199e-16
"GSTA1",2.41924096455076e-20,2.10297840498668,0.313,0.113,6.40735969461269e-16
"PTGER2",2.49956534386136e-20,1.93102477487385,0.186,0.017,6.62009881321682e-16
"AAED1",2.55433071404386e-20,1.28722883521443,0.406,0.186,6.76514489614516e-16
"CP",2.60852928270107e-20,0.342466342973228,0.796,0.48,6.90868980523378e-16
"CENPK",2.66049495730062e-20,2.41640988349198,0.183,0.017,7.04632089441069e-16
"RPL13",2.70847228406638e-20,-0.357734051593675,0.995,0.99,7.17338884434981e-16
"USP7",2.76516691973377e-20,-0.787233357105698,0.481,0.713,7.32354458691489e-16
"FAM127A",2.80877231553746e-20,-0.423496160628265,0.456,0.695,7.43903347770095e-16
