"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","gene","sig"
"ARHGDIA",0.00432566512369254,0.51242742013813,0.467,0.923,1,"ARHGDIA","NS"
"ACTB",0.00448384613892201,1.16376519980879,1,1,1,"ACTB","NS"
"RC3H1",0.00449831885991608,0.83231434500698,0.4,0.846,1,"RC3H1","NS"
"GSDMD",0.00451114630136786,1.07514156233689,0.467,0.846,1,"GSDMD","NS"
"ARL4D",0.00451191173939646,1.15525408013715,0.6,0.692,1,"ARL4D","NS"
"C5orf28",0.00452237270640596,0.328736537770739,0.067,0.615,1,"C5orf28","NS"
"MYADM",0.00457635909303393,0.685091944800613,0.333,0.846,1,"MYADM","NS"
"SLC2A1",0.00465146286353085,2.24097839473673,0.667,0.846,1,"SLC2A1","NS"
"ADD3",0.00471040535244544,0.315472594683364,0.267,0.846,1,"ADD3","NS"
"NDUFV1",0.00471401392885821,0.603106264349067,0.933,0.846,1,"NDUFV1","NS"
"PODNL1",0.00476887832066676,0.535014951142263,0.067,0.615,1,"PODNL1","NS"
"HIAT1",0.00477187490216436,0.661629785012649,0.133,0.692,1,"HIAT1","NS"
"TPD52L1",0.00479053035074381,0.576961953026041,0.533,1,1,"TPD52L1","NS"
"CTPS1",0.00482101327486427,0.292908711942478,0,0.385,1,"CTPS1","NS"
"ZFPM2-AS1",0.00482101327486427,0.37063329059154,0,0.385,1,"ZFPM2-AS1","NS"
"DIO2",0.00482101327486427,1.30425161042803,0,0.385,1,"DIO2","NS"
"S1PR5",0.00482101327486427,0.457489871815876,0,0.385,1,"S1PR5","NS"
"RAB7B",0.00482101327486427,0.458534542197812,0,0.385,1,"RAB7B","NS"
