"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","naive pt.occupancy","naive n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"ADAM15",1.01051209415496e-148,1.97724722946952,0.477,0.831,2.67634128136941e-144,0.302040816326531,11,0.554719166184134,11,"ADAM15","p_val_adj<0.05"
"PGD",2.61103586131819e-261,1.97700565207011,0.678,0.956,6.91532847870123e-257,0.307471264367816,11,0.483140412682436,11,"PGD","p_val_adj<0.05"
"BPGM",3.52040411010737e-107,1.96959985256461,0.409,0.708,9.32379028561938e-103,0.352380952380952,10,0.646059782608696,10,"BPGM","p_val_adj<0.05"
"ST3GAL4-AS1",1.25309701124873e-136,1.96708435313487,0.033,0.49,3.31882743429227e-132,0.411764705882353,7,0.888998035363458,7,"ST3GAL4-AS1","p_val_adj<0.05"
"AVPI1",5.3997459731232e-203,1.95341923819931,0.297,0.849,1.43012272098168e-198,0.462295081967213,9,0.540249433106576,9,"AVPI1","p_val_adj<0.05"
"MIR100HG",1.83971073435448e-33,1.94704598815109,0.105,0.299,4.87247387993785e-29,0.5,7,0.62962962962963,9,"MIR100HG","p_val_adj<0.05"
"SLC12A8",1.06588896329231e-93,1.93533766737534,0.09,0.459,2.82300691927968e-89,0.358695652173913,7,0.44386149003148,9,"SLC12A8","p_val_adj<0.05"
"PLIN2",2.0730103116508e-192,1.93216984443731,0.198,0.781,5.49036781040715e-188,0.532019704433498,9,0.561922365988909,10,"PLIN2","p_val_adj<0.05"
"OASL",1.12166399204465e-41,1.93131378754943,0.072,0.279,2.97072708293025e-37,0.689189189189189,7,0.723661485319516,8,"OASL","p_val_adj<0.05"
"CBR1",2.14653421342668e-50,1.92491655487329,0.672,0.938,5.68509586426057e-46,0.342028985507246,11,0.474871794871795,11,"CBR1","p_val_adj<0.05"
"ARNTL2",1.22988863210691e-190,1.92448148016804,0.16,0.732,3.25736004213515e-186,0.378048780487805,7,0.577251808021039,8,"ARNTL2","p_val_adj<0.05"
"GPAT2",1.37072511007154e-87,1.92366599233366,0.139,0.477,3.63036545402447e-83,0.531468531468531,7,0.873991935483871,9,"GPAT2","p_val_adj<0.05"
"IL20RB",2.15520034497862e-52,1.92198025950169,0.075,0.321,5.70804811367586e-48,0.805194805194805,6,0.562218890554723,8,"IL20RB","p_val_adj<0.05"
"TUBB6",4.28140688529364e-166,1.9198253795858,0.126,0.665,1.13393061357002e-161,0.449612403100775,8,0.655571635311143,8,"TUBB6","p_val_adj<0.05"
"TIGD2",7.44136263303677e-83,1.91858543703406,0.045,0.368,1.97084489335979e-78,0.369565217391304,8,0.850785340314136,8,"TIGD2","p_val_adj<0.05"
"DLD",4.00068112860349e-132,1.91850985186339,0.393,0.756,1.05958039691064e-127,0.329207920792079,9,0.609554140127389,11,"DLD","p_val_adj<0.05"
"VTRNA1-2",2.10378186587836e-132,1.91372071486054,0.046,0.508,5.57186627177883e-128,0.297872340425532,7,0.641098484848485,9,"VTRNA1-2","p_val_adj<0.05"
"UBE2C",2.08167137105325e-20,1.90677890618993,0.071,0.193,5.51330662623452e-16,0.506849315068493,8,0.59452736318408,10,"UBE2C","p_val_adj<0.05"
"GSDMB",5.47052622603464e-161,1.89765299726656,0.109,0.64,1.44886887096527e-156,0.482142857142857,10,0.636842105263158,7,"GSDMB","p_val_adj<0.05"
"PCDHA9",4.88300480637924e-41,1.89237888162396,0.019,0.192,1.29326382296954e-36,0.368421052631579,6,0.9475,8,"PCDHA9","p_val_adj<0.05"
"TFCP2L1",3.84570200397884e-138,1.86856125356002,0.171,0.626,1.01853417575379e-133,0.414772727272727,9,0.727901614142967,10,"TFCP2L1","p_val_adj<0.05"
"POT1-AS1",4.62707105205973e-56,1.86665853539168,0.014,0.237,1.22547976813802e-51,0.428571428571429,6,0.809330628803245,9,"POT1-AS1","p_val_adj<0.05"
"TAP1",5.15941051157103e-241,1.86144377254654,0.493,0.922,1.36646987398959e-236,0.345849802371542,10,0.497390396659708,11,"TAP1","p_val_adj<0.05"
"FXYD5",3.56096167726877e-245,1.84762167278952,0.346,0.91,9.43120700224634e-241,0.388732394366197,11,0.507936507936508,11,"FXYD5","p_val_adj<0.05"
"TNFSF13B",3.68279672066858e-101,1.83495033805261,0.088,0.478,9.75388711469073e-97,0.566666666666667,10,0.695171026156942,9,"TNFSF13B","p_val_adj<0.05"
"CAPG",1.64179698080004e-284,1.83042526251146,0.441,0.942,4.34829930364889e-280,0.465783664459161,9,0.491317671092952,10,"CAPG","p_val_adj<0.05"
"RAP2B",1.46961437528042e-172,1.80643658189911,0.573,0.936,3.8922736729302e-168,0.360544217687075,11,0.485097636176773,11,"RAP2B","p_val_adj<0.05"
"PTGES",2.14097685082844e-126,1.7893077140923,0.286,0.687,5.67037718941913e-122,0.486394557823129,9,0.67296918767507,9,"PTGES","p_val_adj<0.05"
"PRRG1",4.4044367601193e-75,1.78829749546856,0.027,0.321,1.1665150759176e-70,0.357142857142857,6,0.823353293413174,8,"PRRG1","p_val_adj<0.05"
"KCP",9.13049869785172e-87,1.78286100832709,0.008,0.321,2.41821258012603e-82,0.375,4,0.780780780780781,7,"KCP","p_val_adj<0.05"
"ATP6V1B1",3.39000358349617e-89,1.76479390410505,0.021,0.351,8.9784244908896e-85,0.363636363636364,7,0.96986301369863,7,"ATP6V1B1","p_val_adj<0.05"
"AIM1L",1.95661709983165e-96,1.7640382252621,0.039,0.405,5.18210038890412e-92,0.325,7,0.661520190023753,7,"AIM1L","p_val_adj<0.05"
"FAR2",3.66646782228246e-95,1.76290835141494,0.05,0.408,9.7106400273151e-91,0.705882352941177,5,0.92688679245283,8,"FAR2","p_val_adj<0.05"
"FBXO17",1.25621900965172e-32,1.75462880456913,0.027,0.179,3.32709604706259e-28,0.571428571428571,3,0.694369973190349,7,"FBXO17","p_val_adj<0.05"
"CA12",2.14004373520844e-80,1.74807660067691,0.126,0.465,5.66790583269955e-76,0.410852713178295,9,0.524844720496894,7,"CA12","p_val_adj<0.05"
"VTCN1",8.35730090717308e-98,1.74694678768587,0.058,0.43,2.21343114526479e-93,0.666666666666667,7,0.957446808510638,8,"VTCN1","p_val_adj<0.05"
"APOL1",3.7981660796996e-122,1.74642121090704,0.486,0.864,1.00594428620844e-117,0.404809619238477,10,0.507520891364903,11,"APOL1","p_val_adj<0.05"
"AUNIP",3.39584511130217e-46,1.74068843269702,0.021,0.218,8.99389577728379e-42,0.454545454545455,6,0.630530973451327,7,"AUNIP","p_val_adj<0.05"
"C15orf48",8.16782218034636e-92,1.73923077572025,0.598,0.795,2.16324770446473e-87,0.47557003257329,9,0.581465778316172,9,"C15orf48","p_val_adj<0.05"
"ANK1",1.00656257860051e-45,1.73623933877756,0.01,0.193,2.66588098942346e-41,0.3,4,0.830845771144279,7,"ANK1","p_val_adj<0.05"
"ACE2",1.03737443360683e-77,1.73504877524654,0.037,0.346,2.74748618740768e-73,0.447368421052632,5,0.795264623955432,8,"ACE2","p_val_adj<0.05"
"LINC01535",2.61746296374222e-81,1.73310339075511,0.02,0.328,6.93235065947128e-77,0.666666666666667,5,0.906158357771261,8,"LINC01535","p_val_adj<0.05"
"AKR1C2",2.0939927784174e-07,1.72238697707152,0.332,0.343,0.00554593987363847,0.63049853372434,9,0.875175315568022,9,"AKR1C2","p_val_adj<0.05"
"HSD11B2",5.80941916972775e-97,1.7180486045733,0.04,0.406,1.5386246671024e-92,0.317073170731707,7,0.870699881376038,10,"HSD11B2","p_val_adj<0.05"
"C16orf74",3.71445304707661e-101,1.70945957473092,0.081,0.482,9.83772889518239e-97,0.457831325301205,7,0.498501498501498,8,"C16orf74","p_val_adj<0.05"
"PARM1",3.22465086843726e-68,1.70932302120187,0.352,0.57,8.54048782505609e-64,0.359116022099448,11,0.810126582278481,10,"PARM1","p_val_adj<0.05"
