"p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000441584819822248,0.266642467248821,0.289,0.186,1,"3","NME4"
0.0004564958447212,0.378810381919213,0.313,0.206,1,"3","MOGS"
0.000459652392497971,0.32505717727665,0.64,0.526,1,"3","ZNF207"
0.000461295634647115,0.389453645519341,0.365,0.259,1,"3","PPIP5K2"
0.000512342893359068,0.401633586185734,0.303,0.202,1,"3","SLC9A7"
0.000531630834375574,0.534107327591779,0.313,0.209,1,"3","TMEM184C"
0.000540995034855962,0.288047308235198,0.393,0.282,1,"3","ATG101"
0.000541515164652526,0.528204301005744,0.275,0.179,1,"3","GOT2"
0.000549359349772066,0.267491276781789,0.37,0.254,1,"3","ADSS"
0.000551171627893481,0.386786271332756,0.261,0.165,1,"3","PAXBP1"
0.000553435030404796,0.704964267564788,0.251,0.163,1,"3","CXXC5"
0.000556388973771349,0.303118979287563,0.417,0.303,1,"3","RMND5A"
0.000558742297322626,0.302032214823098,0.303,0.197,1,"3","CERS5"
0.00056431322710337,0.256620095201014,0.408,0.29,1,"3","LAGE3"
0.000583953321848718,0.285256666602371,0.336,0.228,1,"3","BAK1"
0.000628769206536682,0.284315116226923,0.303,0.2,1,"3","SCARB1"
0.000632552696432814,0.460879773114631,0.436,0.332,1,"3","LPAR6"
0.000632962323459234,0.290450218400428,0.422,0.313,1,"3","CNPPD1"
0.000650098872369392,0.318575648332688,0.474,0.362,1,"3","ATP2C1"
0.000650914242369986,0.486884638109913,0.303,0.202,1,"3","ASMTL"
0.000672459421924602,0.536519941488175,0.336,0.239,1,"3","AKR7A2"
0.000684929234828688,0.690364289931679,0.346,0.242,1,"3","ELK4"
0.000694186116928621,0.568648403896607,0.261,0.166,1,"3","RIOK1"
0.000707041121593511,0.329451730790004,0.318,0.215,1,"3","VCL"
0.000712468483895827,0.354025939379978,0.54,0.427,1,"3","OGT"
0.000726503958526411,0.310078486006358,0.498,0.373,1,"3","PRPF8"
0.000727634082355004,0.276572409135241,0.412,0.3,1,"3","C18orf32"
0.00073234971984039,0.272245473778029,0.275,0.176,1,"3","PTS"
0.000772366033080305,0.568876668487335,0.294,0.196,1,"3","PFDN4"
0.000779867960028519,0.368476664193484,0.398,0.3,1,"3","PSME3"
0.000787821944906983,0.275290435545236,0.36,0.256,1,"3","RFWD2"
0.000789114298207563,0.595156094425467,0.355,0.247,1,"3","CDK13"
0.000789489179437222,0.309790356596669,0.341,0.234,1,"3","ELK3"
0.000836977054824901,1.07881612029959,0.265,0.175,1,"3","HEATR5B"
0.000838575233772574,0.422932059064397,0.351,0.247,1,"3","SDF2"
0.000840534201286957,0.303277517361993,0.265,0.176,1,"3","TNFRSF12A"
0.000844862887227099,0.296488574386949,0.308,0.21,1,"3","SUCO"
0.000882952293300043,0.37438564960415,0.882,0.768,1,"3","C6orf62"
0.000890077090597344,0.348565848488402,0.322,0.224,1,"3","COPS8"
0.000904684683520008,0.672520896493585,0.265,0.17,1,"3","ZBTB44"
0.00091150499892772,0.326886955452149,0.436,0.316,1,"3","RBM12"
0.000938408727633069,0.53554542116794,0.275,0.181,1,"3","ARPIN"
0.000942660102828755,0.559774226260525,0.275,0.185,1,"3","YIPF4"
