"","cell_id","norm_epi_annotation"
"H6_B001554","H6_B001554","alveolar type 2 cell"
"H6_B003132","H6_B003132","alveolar type 2 cell"
"H6_B003187","H6_B003187","alveolar type 2 cell"
"H7_B001554","H7_B001554","alveolar type 2 cell"
"H7_B003577","H7_B003577","alveolar type 2 cell"
"H8_B001474","H8_B001474","alveolar type 2 cell"
"H8_B003126","H8_B003126","alveolar type 2 cell"
"H8_B003129","H8_B003129","alveolar type 2 cell"
"H8_B003187","H8_B003187","alveolar type 2 cell"
"I10_B002074","I10_B002074","alveolar type 2 cell"
"I10_B003995","I10_B003995","alveolar type 2 cell"
"I13_B002074","I13_B002074","alveolar type 2 cell"
"I14_B002079","I14_B002079","alveolar type 2 cell"
"I15_B002074","I15_B002074","alveolar type 2 cell"
"I15_B002097","I15_B002097","alveolar type 2 cell"
"I16_B002097","I16_B002097","alveolar type 2 cell"
"I21_B000422","I21_B000422","alveolar type 2 cell"
"I21_B003894","I21_B003894","alveolar type 2 cell"
"I4_B001558","I4_B001558","club cell"
"I5_B003129","I5_B003129","alveolar type 2 cell"
"I5_B003191","I5_B003191","alveolar type 2 cell"
"I6_B003187","I6_B003187","alveolar type 2 cell"
"I6_B003191","I6_B003191","alveolar type 2 cell"
"I8_B001558","I8_B001558","alveolar type 2 cell"
"I8_B003132","I8_B003132","alveolar type 2 cell"
"I8_B003191","I8_B003191","alveolar type 2 cell"
"I9_B001558","I9_B001558","alveolar type 2 cell"
"J11_B001475","J11_B001475","alveolar type 2 cell"
"J12_B003920","J12_B003920","alveolar type 2 cell"
"J13_B003995","J13_B003995","alveolar type 2 cell"
"J14_B003187","J14_B003187","alveolar type 2 cell"
"J15_B002078","J15_B002078","alveolar type 2 cell"
"J15_B002097","J15_B002097","alveolar type 2 cell"
"J15_B003126","J15_B003126","alveolar type 2 cell"
"J15_B003129","J15_B003129","alveolar type 2 cell"
"J15_B003894","J15_B003894","alveolar type 2 cell"
"J16_B002097","J16_B002097","alveolar type 2 cell"
"J18_B002074","J18_B002074","alveolar type 2 cell"
"J19_B002073","J19_B002073","alveolar type 2 cell"
"J1_B003126","J1_B003126","alveolar type 2 cell"
"J1_B003191","J1_B003191","alveolar type 2 cell"
"J3_B003191","J3_B003191","alveolar type 2 cell"
"J4_B003126","J4_B003126","alveolar type 2 cell"
"J5_B001558","J5_B001558","alveolar type 2 cell"
"J5_B003129","J5_B003129","alveolar type 2 cell"
"J5_B003187","J5_B003187","alveolar type 2 cell"
"J6_B001558","J6_B001558","alveolar type 2 cell"
"J7_B001474","J7_B001474","alveolar type 2 cell"
"J7_B003132","J7_B003132","alveolar type 2 cell"
"K11_B003523","K11_B003523","alveolar type 2 cell"
"K14_B002073","K14_B002073","alveolar type 2 cell"
"K16_B003771","K16_B003771","alveolar type 2 cell"
"K18_B002097","K18_B002097","alveolar type 2 cell"
"K18_B003894","K18_B003894","alveolar type 2 cell"
"K1_B003191","K1_B003191","alveolar type 2 cell"
"K21_B003995","K21_B003995","alveolar type 2 cell"
"K22_B002078","K22_B002078","alveolar type 2 cell"
"K22_B002097","K22_B002097","alveolar type 2 cell"
"K3_B003191","K3_B003191","alveolar type 2 cell"
"K5_B003126","K5_B003126","alveolar type 2 cell"
"K7_B003126","K7_B003126","alveolar type 2 cell"
"K7_B003528","K7_B003528","alveolar type 2 cell"
"K8_B003132","K8_B003132","alveolar type 2 cell"
"K8_B003191","K8_B003191","alveolar type 2 cell"
"K9_B001558","K9_B001558","alveolar type 2 cell"
"L14_B003132","L14_B003132","alveolar type 2 cell"
"L15_B003995","L15_B003995","alveolar type 2 cell"
"L16_B003132","L16_B003132","alveolar type 2 cell"
"L17_B002074","L17_B002074","alveolar type 2 cell"
"L18_B002097","L18_B002097","alveolar type 2 cell"
"L1_B003191","L1_B003191","alveolar type 2 cell"
"L22_B003995","L22_B003995","alveolar type 2 cell"
"L2_B003191","L2_B003191","alveolar type 2 cell"
"L3_B001558","L3_B001558","alveolar type 2 cell"
"L3_B003129","L3_B003129","alveolar type 2 cell"
"L4_B003187","L4_B003187","alveolar type 2 cell"
"L5_B003126","L5_B003126","alveolar type 2 cell"
"L6_B003132","L6_B003132","alveolar type 2 cell"
"L7_B001554","L7_B001554","alveolar type 2 cell"
"M10_B001554","M10_B001554","alveolar type 2 cell"
"M11_B001554","M11_B001554","alveolar type 2 cell"
"M13_B003995","M13_B003995","alveolar type 2 cell"
"M14_B002073","M14_B002073","alveolar type 2 cell"
"M16_B003187","M16_B003187","alveolar type 2 cell"
"M16_B003894","M16_B003894","alveolar type 2 cell"
"M20_B002097","M20_B002097","alveolar type 2 cell"
"M21_B003894","M21_B003894","alveolar type 2 cell"
"M3_B003132","M3_B003132","alveolar type 2 cell"
"M3_B003191","M3_B003191","alveolar type 2 cell"
"N11_B001554","N11_B001554","alveolar type 2 cell"
"N14_B002073","N14_B002073","alveolar type 2 cell"
"N14_B002074","N14_B002074","alveolar type 2 cell"
"N15_B003894","N15_B003894","alveolar type 2 cell"
"N16_B003126","N16_B003126","alveolar type 2 cell"
"N16_B003771","N16_B003771","alveolar type 2 cell"
"N17_B002097","N17_B002097","alveolar type 2 cell"
"N1_B003132","N1_B003132","alveolar type 2 cell"
"N21_B002073","N21_B002073","alveolar type 2 cell"
"N21_B003771","N21_B003771","alveolar type 2 cell"
"N2_B003132","N2_B003132","alveolar type 2 cell"
"N6_B003129","N6_B003129","alveolar type 2 cell"
"N7_B003191","N7_B003191","alveolar type 2 cell"
"N8_B003191","N8_B003191","unknown stroma"
"N8_B003528","N8_B003528","alveolar type 2 cell"
"O10_B001554","O10_B001554","alveolar type 2 cell"
"O10_B003528","O10_B003528","alveolar type 2 cell"
"O11_B003577","O11_B003577","alveolar type 2 cell"
"O15_B003191","O15_B003191","alveolar type 2 cell"
"O18_B002077","O18_B002077","alveolar type 2 cell"
"O19_B002074","O19_B002074","alveolar type 2 cell"
"O1_B003187","O1_B003187","alveolar type 2 cell"
"O20_B003771","O20_B003771","alveolar type 2 cell"
"O4_B001558","O4_B001558","alveolar type 2 cell"
"O6_B001554","O6_B001554","alveolar type 2 cell"
"O6_B003129","O6_B003129","alveolar type 2 cell"
"O6_B003132","O6_B003132","alveolar type 2 cell"
"O8_B001558","O8_B001558","alveolar type 2 cell"
"O8_B003191","O8_B003191","alveolar type 2 cell"
"O8_B003528","O8_B003528","alveolar type 2 cell"
"O9_B003528","O9_B003528","alveolar type 2 cell"
"P11_B003523","P11_B003523","alveolar type 2 cell"
"P14_B003125","P14_B003125","alveolar type 2 cell"
"P17_B003920","P17_B003920","alveolar type 2 cell"
"P19_B000422","P19_B000422","alveolar type 2 cell"
"P20_B003995","P20_B003995","alveolar type 2 cell"
"P21_B002073","P21_B002073","alveolar type 2 cell"
"P4_B003132","P4_B003132","alveolar type 2 cell"
"P5_B003191","P5_B003191","alveolar type 2 cell"
"P6_B003132","P6_B003132","alveolar type 2 cell"
"P8_B001558","P8_B001558","alveolar type 2 cell"
"P8_B003132","P8_B003132","alveolar type 2 cell"
"P8_B003995","P8_B003995","alveolar type 2 cell"
"P9_B003577","P9_B003577","alveolar type 2 cell"
"C8_B003577","C8_B003577","alveolar type 2 cell"
"G8_B003577","G8_B003577","alveolar type 2 cell"
"E14_B003129","E14_B003129","alveolar type 2 cell"
"E17_B003771","E17_B003771","alveolar type 2 cell"
"F1_B001470","F1_B001470","alveolar type 2 cell"
"C20_B003654","C20_B003654","club cell"
"M1_B000861","M1_B000861","unknown stroma"
"K10_B003119","K10_B003119","basal cell"
"K11_B003119","K11_B003119","basal cell"
"K13_B003119","K13_B003119","basal cell"
"K14_B003119","K14_B003119","basal cell"
"K15_B003119","K15_B003119","basal cell"
"K17_B003119","K17_B003119","basal cell"
"K18_B003119","K18_B003119","basal cell"
"K19_B003119","K19_B003119","basal cell"
"K1_B003119","K1_B003119","basal cell"
"K20_B003119","K20_B003119","basal cell"
"K21_B003119","K21_B003119","basal cell"
"K22_B003119","K22_B003119","basal cell"
"K2_B003119","K2_B003119","basal cell"
"K3_B003119","K3_B003119","basal cell"
"K4_B003119","K4_B003119","basal cell"
"K5_B003119","K5_B003119","basal cell"
"K6_B003119","K6_B003119","basal cell"
"K7_B003119","K7_B003119","basal cell"
"K9_B003119","K9_B003119","basal cell"
"B22_B002074","B22_B002074","alveolar type 2 cell"
"M15_B002074","M15_B002074","alveolar type 2 cell"
"P10_B000419","P10_B000419","alveolar type 2 cell"
"P11_B000419","P11_B000419","alveolar type 2 cell"
"P12_B000419","P12_B000419","alveolar type 2 cell"
"P13_B000419","P13_B000419","alveolar type 2 cell"
"P14_B000419","P14_B000419","alveolar type 2 cell"
"P15_B000419","P15_B000419","alveolar type 2 cell"
"P16_B000419","P16_B000419","alveolar type 2 cell"
"P17_B000419","P17_B000419","alveolar type 2 cell"
"P18_B000419","P18_B000419","alveolar type 2 cell"
"P19_B000419","P19_B000419","alveolar type 2 cell"
"P20_B000419","P20_B000419","alveolar type 2 cell"
"P21_B000419","P21_B000419","alveolar type 2 cell"
"P22_B000419","P22_B000419","alveolar type 2 cell"
"P3_B000419","P3_B000419","alveolar type 2 cell"
"P4_B000419","P4_B000419","alveolar type 2 cell"
"P5_B000419","P5_B000419","alveolar type 2 cell"
"P6_B000419","P6_B000419","alveolar type 2 cell"
"P7_B000419","P7_B000419","alveolar type 2 cell"
"P8_B000419","P8_B000419","alveolar type 2 cell"
"P9_B000419","P9_B000419","alveolar type 2 cell"
"A21_B003093","A21_B003093","hepatocyte"
"A9_B002573","A9_B002573","hepatocyte"
"B11_B000862","B11_B000862","hepatocyte"
"B11_B002572","B11_B002572","hepatocyte"
"B4_B002573","B4_B002573","hepatocyte"
"C5_B002571","C5_B002571","hepatocyte"
"C6_B002573","C6_B002573","hepatocyte"
"C9_B000861","C9_B000861","hepatocyte"
"D5_B000861","D5_B000861","hepatocyte"
"D6_B001464","D6_B001464","hepatocyte"
"D7_B002573","D7_B002573","hepatocyte"
"E3_B002573","E3_B002573","hepatocyte"
"E4_B002571","E4_B002571","hepatocyte"
"E6_B002572","E6_B002572","hepatocyte"
"E7_B002573","E7_B002573","hepatocyte"
"F12_B002573","F12_B002573","hepatocyte"
"F1_B002572","F1_B002572","hepatocyte"
"F1_B002573","F1_B002573","hepatocyte"
"F2_B000863","F2_B000863","hepatocyte"
"F7_B002572","F7_B002572","hepatocyte"
"G10_B002572","G10_B002572","hepatocyte"
"G11_B000863","G11_B000863","hepatocyte"
"G3_B002571","G3_B002571","hepatocyte"
"G4_B002571","G4_B002571","hepatocyte"
"G7_B002573","G7_B002573","hepatocyte"
"H11_B000861","H11_B000861","hepatocyte"
"H11_B002572","H11_B002572","hepatocyte"
"H12_B002573","H12_B002573","hepatocyte"
"H2_B002572","H2_B002572","hepatocyte"
"H7_B002571","H7_B002571","hepatocyte"
"I4_B002571","I4_B002571","hepatocyte"
"I5_B002571","I5_B002571","hepatocyte"
"I7_B002573","I7_B002573","hepatocyte"
"J1_B002571","J1_B002571","hepatocyte"
"J4_B002571","J4_B002571","hepatocyte"
"J8_B002573","J8_B002573","hepatocyte"
"K1_B002571","K1_B002571","hepatocyte"
"L3_B002571","L3_B002571","hepatocyte"
"L7_B002571","L7_B002571","hepatocyte"
"L8_B002572","L8_B002572","hepatocyte"
"L9_B002572","L9_B002572","hepatocyte"
"M10_B002573","M10_B002573","hepatocyte"
"M12_B002572","M12_B002572","hepatocyte"
"M3_B002573","M3_B002573","hepatocyte"
"M7_B002573","M7_B002573","hepatocyte"
"N3_B002573","N3_B002573","hepatocyte"
"N6_B002573","N6_B002573","hepatocyte"
"N7_B000861","N7_B000861","hepatocyte"
"N7_B002573","N7_B002573","hepatocyte"
"O5_B002571","O5_B002571","hepatocyte"
"O6_B002572","O6_B002572","hepatocyte"
"P12_B002573","P12_B002573","hepatocyte"
"P4_B002572","P4_B002572","hepatocyte"
"P7_B002571","P7_B002571","hepatocyte"
"A14_B002079","A14_B002079","ciliated cell"
"C15_B000422","C15_B000422","ciliated cell"
"C1_B003995","C1_B003995","ciliated cell"
"E11_B003119","E11_B003119","ciliated cell"
"E18_B003116","E18_B003116","ciliated cell"
"I14_B003116","I14_B003116","ciliated cell"
"K20_B003112","K20_B003112","ciliated cell"
"L6_B003112","L6_B003112","ciliated cell"
"M12_B003119","M12_B003119","ciliated cell"
"A15_B003112","A15_B003112","ciliated cell"
"A16_B003120","A16_B003120","ciliated cell"
"A17_B003112","A17_B003112","ciliated cell"
"A19_B003120","A19_B003120","ciliated cell"
"B15_B003112","B15_B003112","ciliated cell"
"B15_B003120","B15_B003120","ciliated cell"
"B20_B003112","B20_B003112","ciliated cell"
"B22_B003112","B22_B003112","ciliated cell"
"B4_B003132","B4_B003132","ciliated cell"
"C10_B001545","C10_B001545","ciliated cell"
"C15_B003116","C15_B003116","ciliated cell"
"C16_B003112","C16_B003112","ciliated cell"
"C17_B003116","C17_B003116","ciliated cell"
"C20_B003120","C20_B003120","ciliated cell"
"C8_B003119","C8_B003119","ciliated cell"
"D10_B001558","D10_B001558","ciliated cell"
"D12_B003119","D12_B003119","ciliated cell"
"D15_B003120","D15_B003120","ciliated cell"
"D16_B001470","D16_B001470","ciliated cell"
"D16_B003126","D16_B003126","ciliated cell"
"D19_B003116","D19_B003116","ciliated cell"
"D20_B002074","D20_B002074","ciliated cell"
"D20_B003112","D20_B003112","ciliated cell"
"D4_B001470","D4_B001470","ciliated cell"
"D6_B001470","D6_B001470","ciliated cell"
"E14_B003116","E14_B003116","ciliated cell"
"E14_B003120","E14_B003120","ciliated cell"
"E18_B003120","E18_B003120","ciliated cell"
"E19_B003120","E19_B003120","ciliated cell"
"E21_B003112","E21_B003112","ciliated cell"
"E4_B003120","E4_B003120","ciliated cell"
"E5_B001554","E5_B001554","ciliated cell"
"F11_B003119","F11_B003119","ciliated cell"
"F16_B003187","F16_B003187","ciliated cell"
"F20_B000422","F20_B000422","ciliated cell"
"G8_B001545","G8_B001545","ciliated cell"
"H15_B003112","H15_B003112","ciliated cell"
"I12_B003119","I12_B003119","ciliated cell"
"I16_B003120","I16_B003120","ciliated cell"
"I17_B003120","I17_B003120","ciliated cell"
"I2_B003647","I2_B003647","ciliated cell"
"I7_B003119","I7_B003119","ciliated cell"
"J18_B003775","J18_B003775","ciliated cell"
"J20_B003112","J20_B003112","ciliated cell"
"J22_B003120","J22_B003120","ciliated cell"
"K12_B003120","K12_B003120","ciliated cell"
"K4_B003995","K4_B003995","ciliated cell"
"K6_B003191","K6_B003191","ciliated cell"
"K9_B001543","K9_B001543","ciliated cell"
"L22_B003120","L22_B003120","ciliated cell"
"M11_B003119","M11_B003119","ciliated cell"
"M12_B003116","M12_B003116","ciliated cell"
"M12_B003120","M12_B003120","ciliated cell"
"M15_B003112","M15_B003112","ciliated cell"
"M15_B003191","M15_B003191","ciliated cell"
"M21_B000419","M21_B000419","ciliated cell"
"M6_B001558","M6_B001558","ciliated cell"
"M7_B003119","M7_B003119","ciliated cell"
"M9_B001545","M9_B001545","ciliated cell"
"M9_B003119","M9_B003119","ciliated cell"
"N15_B003119","N15_B003119","ciliated cell"
"N16_B003119","N16_B003119","ciliated cell"
"N16_B003643","N16_B003643","ciliated cell"
"N17_B003112","N17_B003112","ciliated cell"
"N17_B003119","N17_B003119","ciliated cell"
"N18_B003119","N18_B003119","ciliated cell"
"N19_B003119","N19_B003119","ciliated cell"
"N19_B003120","N19_B003120","ciliated cell"
"N20_B003119","N20_B003119","ciliated cell"
"N21_B003119","N21_B003119","ciliated cell"
"N22_B003119","N22_B003119","ciliated cell"
"O12_B003120","O12_B003120","ciliated cell"
"O14_B003112","O14_B003112","ciliated cell"
"O18_B003120","O18_B003120","ciliated cell"
"O20_B003120","O20_B003120","ciliated cell"
"O22_B003120","O22_B003120","ciliated cell"
"O8_B001545","O8_B001545","ciliated cell"
"P13_B003116","P13_B003116","ciliated cell"
"P14_B003120","P14_B003120","ciliated cell"
"P15_B003120","P15_B003120","ciliated cell"
"P16_B003116","P16_B003116","ciliated cell"
"P17_B003112","P17_B003112","ciliated cell"
"P17_B003120","P17_B003120","ciliated cell"
"P18_B003112","P18_B003112","ciliated cell"
"P18_B003116","P18_B003116","ciliated cell"
"P21_B003120","P21_B003120","ciliated cell"
"P2_B003995","P2_B003995","ciliated cell"
