"";"p_val";"avg_logFC";"pct.1";"pct.2";"p_val_adj"
"ID2";8,34613842476152e-152;1,30011093852072;0,781;0,399;2,21047476179809e-147
"GSTP1";1,00835094957111e-151;-0,752177239525229;0,948;0,993;2,67061748993908e-147
"UQCRFS1";1,72257571858872e-151;-0,686047615995962;0,726;0,953;4,56224179068221e-147
"RPS4Y1";2,40991616805093e-151;-0,339687382993178;0,03;0,504;6,38266297108288e-147
"HEXIM1";6,4246055502174e-151;0,886866955648905;0,837;0,736;1,70155677997508e-146
"TXNRD1";7,57865015910508e-151;-0,820932987411834;0,507;0,941;2,00720549463898e-146
"TYMP";1,21759531689338e-150;-1,14889434696269;0,769;0,935;3,22480119679212e-146
"CITED2";4,23126394038261e-150;0,932561426536698;0,729;0,378;1,12065025461033e-145
"PRAME";4,4916382101151e-150;-0,459179130135128;0,016;0,492;1,18961037994898e-145
"AGER";5,40792540071804e-150;2,00996613621651;0,465;0,051;1,43228904238017e-145
"EGLN3";7,52692055647445e-150;-1,24697482774614;0,185;0,571;1,99350490938226e-145
"PGAM1";4,56240413661733e-149;-0,724937614729277;0,636;0,955;1,2083527355831e-144
"ST3GAL4-AS1";1,2134967269581e-148;-0,317848868923418;0,068;0,483;3,21394608134853e-144
"PLP2";1,54381257490908e-148;-0,691336229374875;0,423;0,92;4,0887876046467e-144
"ALDH1A1";1,90524353359618e-148;0,937278264879129;0,643;0,106;5,04603749872949e-144
"BIRC3";7,24988978647736e-148;-1,04415037493917;0,329;0,829;1,92013330994853e-143
"PTGES";4,57603782773506e-147;-1,41170875997115;0,224;0,686;1,21196361867563e-142
"LAMC2";3,68311789951262e-146;-0,627390299149079;0,294;0,847;9,75473775685917e-142
"GLS";5,98298872678208e-146;0,83302060535013;0,843;0,423;1,58459456428823e-141
"BATF";6,3409158248834e-146;-0,462744243524076;0,154;0,713;1,67939155622037e-141
"IFI27";8,95876433277317e-146;-0,677145533902882;0,857;0,515;2,37272873353497e-141
"SKP1";1,61035107243883e-145;-0,609001552195398;0,911;0,988;4,26501481535423e-141
"MIR3654";4,71345437172574e-145;0,282784697422665;0,755;0,904;1,24835839035156e-140
"KRT19";6,08823904867786e-145;-0,937473618252643;0,918;0,987;1,61247011204233e-140
"GADD45B";6,98041142291338e-145;1,34728570974021;0,781;0,624;1,84876196535861e-140
"KIAA1683";8,51074725857566e-145;1,06153538092488;0,545;0,067;2,25407141143376e-140
"BRD2";1,24321444857655e-144;0,952060929775606;0,904;0,846;3,29265346705498e-140
"STS";3,58791636799221e-144;-0,483177267531456;0,121;0,602;9,50259650062737e-140
"CADM1";7,11609924094745e-144;1,33397951289506;0,766;0,344;1,88469888396493e-139
"C5orf30";1,02278740030153e-143;-0,309811822165361;0,056;0,491;2,70885242969861e-139
"PPIA";1,0472809174288e-143;-0,740373618729853;0,962;0,996;2,77372350981016e-139
"ARPC2";1,28494040936703e-143;-0,74568136992214;0,865;0,99;3,40316467420858e-139
"CSGALNACT1";1,29675368794802e-143;-0,385213486773027;0,068;0,459;3,43445214253032e-139
"TRIM16L";1,69985985724497e-142;-0,374913161965929;0,161;0,724;4,5020788319133e-138
"CCDC109B";3,18634925091916e-142;-0,511650156991798;0,065;0,62;8,43904599105939e-138
"KCNQ1OT1";9,59529107168639e-142;1,54950765243287;0,809;0,484;2,54131284033614e-137
"CBLC";1,18040514121098e-141;-0,458793645752164;0,15;0,716;3,12630301649727e-137
"ERAP2";1,83150901046909e-141;-0,346354382462103;0,138;0,707;4,8507516142274e-137
"KCTD3";2,42624292807299e-141;-0,530855515693919;0,143;0,625;6,42590439500132e-137
"SCNN1B";3,12452048485884e-141;0,890901989643284;0,68;0,227;8,27529250414865e-137
"NMU";1,48661836185096e-140;-0,416761382160916;0,019;0,485;3,93730873136226e-136
"ADAM28";4,72991913533943e-140;-0,334882394428025;0,077;0,549;1,25271908299465e-135
"G6PD";9,37127665291908e-140;-0,574362759269799;0,425;0,89;2,48198262152562e-135
"GCLC";1,75128513992364e-139;-0,608838277294796;0,136;0,71;4,63827869308775e-135
"WSB1";4,27332819843136e-139;1,06258874509949;0,913;0,88;1,13179097335455e-134
"LYPD5";8,51719471674015e-139;-0,331549669738508;0,026;0,523;2,25577902072863e-134
"NQO1";9,57013577465506e-139;-1,23189260802944;0,726;0,952;2,53465045991739e-134
"ALDH3A2";1,04405293193345e-138;0,941178016191178;0,837;0,697;2,76517419022574e-134
"RAB11A";1,77514136596192e-138;-0,71574785109988;0,689;0,921;4,70146190775014e-134
"MUC4";8,03461914645845e-138;-0,546949500454811;0,36;0,835;2,12796888093952e-133
"NME2";2,64962738327406e-137;-0,62329775654603;0,696;0,972;7,01753812460136e-133
"WNK1";1,57314664419416e-136;0,700004174816725;0,843;0,782;4,16647888714823e-132
"LY6D";3,36710060349806e-136;-1,57007598963277;0,042;0,555;8,91776594836461e-132
"CAPN1";7,8444860553939e-136;-0,90932875913019;0,663;0,913;2,07761213177107e-131
"S100A16";7,92485276804217e-136;-0,87825060479799;0,722;0,956;2,09889725561597e-131
"GDF15";1,32275199052058e-135;1,43324280587148;0,855;0,44;3,50330864689374e-131
"HMGA1";1,42923265239493e-135;-0,556234338395485;0,524;0,947;3,78532267986797e-131
"STEAP2";3,07732752677526e-135;-0,269248343093437;0,142;0,634;8,15030195466428e-131
"MET";9,71229505791944e-135;-0,605298794580857;0,329;0,836;2,57230134608996e-130
"LITAF";1,1073339605978e-134;-0,900472909602877;0,809;0,958;2,93277399464327e-130
"CSF2RA";1,17997454354202e-134;-0,464830018414294;0,122;0,576;3,12516257857104e-130
"FRMD3";1,22258868669288e-134;-0,257175217190196;0,038;0,409;3,23802613670609e-130
"ACKR2";1,29094217746803e-134;-0,283789787537099;0,084;0,468;3,41906035702408e-130
"TKT";2,04594632328314e-134;-0,859552373034206;0,848;0,968;5,41868883721539e-130
"MAGI3";5,29469790591732e-134;0,875118135209448;0,708;0,346;1,4023007403822e-129
"HINT1";5,41125121105183e-134;-0,645316497868808;0,874;0,993;1,43316988324708e-129
"HOMER3";6,33357683733789e-134;-0,252989405363314;0,126;0,646;1,67744782536894e-129
"SEPP1";6,68023832012331e-134;0,631147254818424;0,797;0,729;1,76926111908466e-129
"SCGB3A2";6,70049936949607e-134;2,86110795472006;0,521;0,071;1,77462725801103e-129
"KRT15";1,04371788687846e-133;-1,22136864475623;0,149;0,7;2,76428682339761e-129
"TAP1";1,54640654767435e-133;-1,03806907754087;0,636;0,912;4,09565774151551e-129
"TMPRSS2";2,08003786148804e-133;0,942199426807748;0,771;0,43;5,50898027615106e-129
"PSMB10";2,99961135191084e-133;-0,75913113186529;0,719;0,945;7,94447066553585e-129
