"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","grouped_pr pt.occupancy","grouped_pr n.nonzero.pts","grouped_pd pt.occupancy","grouped_pd n.nonzero.pts","gene","sig"
"KCNJ15",6.44582739707943e-144,0.835320458926808,0.456,0.048,1.70717738611649e-139,0.609195402298851,8,0.754901960784314,6,"KCNJ15","p_val_adj<0.05"
"SFTPA2",9.15348937853071e-24,0.833095973783756,0.336,0.147,2.42430166190386e-19,0.401041666666667,6,0.374193548387097,9,"SFTPA2","p_val_adj<0.05"
"GLS",3.51092988502288e-128,0.83302060535013,0.843,0.423,9.2986978004831e-124,0.360995850622407,8,0.355381165919283,11,"GLS","p_val_adj<0.05"
"RRAD",5.54495818840586e-46,0.829824509393268,0.397,0.14,1.46858217619929e-41,0.352422907488987,10,0.257627118644068,9,"RRAD","p_val_adj<0.05"
"CIRBP",5.17419576481056e-104,0.824218799325033,0.865,0.775,1.37038574831008e-99,0.367676767676768,9,0.510091743119266,10,"CIRBP","p_val_adj<0.05"
"HLA-DMA",1.49506755487927e-44,0.817566502083913,0.909,0.897,3.95968641909776e-40,0.336538461538462,9,0.484672304439746,10,"HLA-DMA","p_val_adj<0.05"
"IER3",1.54380564059248e-62,0.817169406312166,0.795,0.532,4.0887692391092e-58,0.397802197802198,7,0.455031166518255,9,"IER3","p_val_adj<0.05"
"DNAJB1",1.18808898048125e-48,0.81504148438116,0.935,0.919,3.1466536648046e-44,0.358878504672897,10,0.470072239422085,11,"DNAJB1","p_val_adj<0.05"
"RBBP6",1.9736281737179e-76,0.812561734239307,0.906,0.831,5.22715421809186e-72,0.345559845559846,10,0.497432972047918,10,"RBBP6","p_val_adj<0.05"
"TBC1D24",3.01175695681861e-77,0.806068981417331,0.694,0.362,7.97663830013409e-73,0.380352644836272,9,0.605504587155963,11,"TBC1D24","p_val_adj<0.05"
"LGMN",2.39432623511394e-62,0.803782775153763,0.844,0.666,6.34137303369927e-58,0.374741200828157,10,0.44017094017094,11,"LGMN","p_val_adj<0.05"
"NDNF",2.81534398587975e-43,0.800438081769334,0.467,0.236,7.45643854660252e-39,0.636704119850187,8,0.716297786720322,8,"NDNF","p_val_adj<0.05"
"SDC4",5.83130803423472e-43,0.797530441558087,0.972,0.985,1.54442193286707e-38,0.345323741007194,9,0.457651588065448,11,"SDC4","p_val_adj<0.05"
"CLIC3",5.16192399991899e-41,0.789661355428239,0.635,0.463,1.36713557137854e-36,0.40771349862259,8,0.753073770491803,9,"CLIC3","p_val_adj<0.05"
"HNRNPH1",5.42836718004604e-59,0.777067260486479,0.99,0.987,1.43770304763519e-54,0.335689045936396,10,0.457732949087416,11,"HNRNPH1","p_val_adj<0.05"
"CLU",4.57383411621771e-45,0.774875127556013,0.813,0.534,1.21137996568026e-40,0.344086021505376,10,0.506216696269982,10,"CLU","p_val_adj<0.05"
"FOXA2",2.74514480280055e-194,0.772749897707034,0.677,0.107,7.27051601021725e-190,0.416020671834625,8,0.466666666666667,8,"FOXA2","p_val_adj<0.05"
"DMBT1",1.30668086784872e-34,0.77235903934443,0.274,0.088,3.46074427849733e-30,0.713375796178344,7,0.394594594594595,5,"DMBT1","p_val_adj<0.05"
"SF3B2",1.27273966289931e-09,0.770206996247704,0.871,0.907,3.37085099718882e-05,0.349397590361446,9,0.498430962343096,11,"SF3B2","p_val_adj<0.05"
"FBLN5",4.25751692386065e-103,0.766881525123236,0.481,0.108,1.12760335728449e-98,0.56,8,0.726872246696035,7,"FBLN5","p_val_adj<0.05"
"ZC3HAV1",4.25880601633408e-09,0.766171541884138,0.797,0.847,0.000112794477342608,0.403508771929825,9,0.527435610302352,10,"ZC3HAV1","p_val_adj<0.05"
"NPC2",0.000195377774662157,0.763469849985037,0.823,0.945,1,0.318471337579618,9,0.454819277108434,11,"NPC2","NS"
"SEMA4A",5.13883082988748e-73,0.763329501242907,0.444,0.123,1.3610193452957e-68,0.318897637795276,8,0.476923076923077,8,"SEMA4A","p_val_adj<0.05"
"GSTM3",1.48579273950178e-10,0.762175609139992,0.538,0.485,3.93512207057047e-06,0.525974025974026,9,0.467253176930596,9,"GSTM3","p_val_adj<0.05"
"TRA2A",7.18313891400843e-100,0.753436079667881,0.984,0.951,1.90245434137513e-95,0.341030195381883,10,0.471820448877805,11,"TRA2A","p_val_adj<0.05"
"PEBP1",3.45475792510663e-76,0.743013380077762,0.935,0.931,9.14992636464491e-72,0.347663551401869,9,0.477596741344195,10,"PEBP1","p_val_adj<0.05"
"FLJ37453",5.38256870306854e-103,0.742036932635728,0.687,0.298,1.4255733210077e-98,0.374045801526718,9,0.471337579617834,9,"FLJ37453","p_val_adj<0.05"
"BAMBI",6.67839035076107e-85,0.741226410213791,0.614,0.257,1.76877168439907e-80,0.35042735042735,8,0.824399260628466,8,"BAMBI","p_val_adj<0.05"
"TOB1",1.82719752265562e-31,0.73471499185713,0.907,0.895,4.83933263875342e-27,0.360308285163776,9,0.504766949152542,11,"TOB1","p_val_adj<0.05"
"PEBP4",3.12806306558652e-187,0.733704579222035,0.43,0.014,8.28467502920589e-183,0.333333333333333,6,0.5,4,"PEBP4","p_val_adj<0.05"
"CPM",2.98211899441915e-35,0.72659259011275,0.858,0.687,7.89814215671912e-31,0.362525458248472,10,0.659075224292616,9,"CPM","p_val_adj<0.05"
"CST3",6.57924918182239e-41,0.72525343475029,0.937,0.977,1.74251414580566e-36,0.350746268656716,9,0.464563106796117,11,"CST3","p_val_adj<0.05"
"MUC5B",1.52830437546189e-08,0.722801846504306,0.108,0.229,0.000404771413841081,0.645161290322581,5,0.5,7,"MUC5B","p_val_adj<0.05"
"TOB2",3.02161062902888e-58,0.719558783319973,0.823,0.733,8.00273575098299e-54,0.356687898089172,8,0.566990291262136,10,"TOB2","p_val_adj<0.05"
"ICAM4",3.47109628933703e-165,0.718808962668537,0.622,0.113,9.19319852230914e-161,0.424157303370786,8,0.30672268907563,9,"ICAM4","p_val_adj<0.05"
"SYNE1",5.8935029753495e-68,0.715797324824667,0.608,0.28,1.56089426302132e-63,0.445402298850575,9,0.546531302876481,10,"SYNE1","p_val_adj<0.05"
"ATHL1",4.54188622965493e-104,0.714988347629803,0.549,0.151,1.20291856792411e-99,0.404458598726115,6,0.613207547169811,9,"ATHL1","p_val_adj<0.05"
"SOD3",4.23768267779362e-99,0.714413349745258,0.462,0.106,1.12235025721364e-94,0.534090909090909,8,0.336322869955157,10,"SOD3","p_val_adj<0.05"
"RGS2",1.17296625344855e-27,0.712300418063714,0.572,0.395,3.10660112225847e-23,0.464831804281346,9,0.525810324129652,10,"RGS2","p_val_adj<0.05"
"NEAT1",5.53555593808859e-13,0.711393587097576,0.983,0.948,1.46609199020276e-08,0.338078291814947,10,0.4765,10,"NEAT1","p_val_adj<0.05"
"BMP4",7.42283582923701e-80,0.710512189836634,0.411,0.098,1.96593806937342e-75,0.659574468085106,6,0.657004830917874,9,"BMP4","p_val_adj<0.05"
"CYBRD1",8.18506043419462e-208,0.710240553394181,0.666,0.09,2.16781325599644e-203,0.446194225721785,8,0.389473684210526,8,"CYBRD1","p_val_adj<0.05"
"HMGCS1",0.148534797730349,0.709196334178757,0.624,0.835,1,0.361344537815126,9,0.512485811577753,11,"HMGCS1","NS"
"PCF11",1.49968913381746e-63,0.707873571211714,0.806,0.62,3.97192667091555e-59,0.344902386117137,9,0.543993879112471,10,"PCF11","p_val_adj<0.05"
